modelo,cond,semente,grupo,geracao,massa_cauda,n_tokens
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,5,0.1616,198
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,6,0.1616,198
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,7,0.1624,197
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,8,0.1658,193
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,9,0.1675,197
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,10,0.1684,196
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,11,0.1692,195
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,12,0.1649,194
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso-1912,regional,13,0.1684,196
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,0,0.25,196
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,1,0.2335,197
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,2,0.2368,190
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,3,0.2176,193
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,4,0.241,195
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,5,0.225,200
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,6,0.2146,205
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,7,0.199,206
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,8,0.2077,207
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,9,0.2039,206
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,10,0.2255,204
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,11,0.2157,204
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,12,0.2157,204
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,13,0.2077,207
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,14,0.2049,205
anthropic-claude-sonnet-5,pt-C1,regional-04-jogo-do-osso,regional,15,0.1884,207
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,0,0.1299,177
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,1,0.1056,180
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,2,0.1056,180
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,3,0.1081,185
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,4,0.1099,182
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,5,0.0989,182
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,6,0.1038,183
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,7,0.0984,183
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,8,0.0984,183
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,9,0.0919,185
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,10,0.0909,187
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,11,0.0909,187
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,12,0.1088,193
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,13,0.1105,190
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,14,0.1047,191
anthropic-claude-sonnet-5,pt-C1,regional-05-no-manantial,regional,15,0.0947,190
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,0,0.2336,244
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,1,0.1157,242
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,2,0.1198,242
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,3,0.1198,242
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,4,0.1203,241
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,5,0.1074,242
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,6,0.1111,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,7,0.1157,242
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,8,0.1235,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,9,0.1193,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,10,0.1235,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,11,0.1235,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,12,0.1189,244
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,13,0.127,244
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,14,0.1317,243
anthropic-claude-sonnet-5,pt-C1,regional-06-o-negro-bonifacio,regional,15,0.1276,243
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,0,0.25,244
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,1,0.2072,251
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,2,0.2095,253
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,3,0.2054,258
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,4,0.214,257
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,5,0.2222,252
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,6,0.2151,251
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,7,0.2082,269
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,8,0.2164,268
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,9,0.2105,266
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,10,0.2074,270
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,11,0.2022,267
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,12,0.2068,266
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,13,0.2172,267
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,14,0.2022,267
anthropic-claude-sonnet-5,pt-C1,regional-07-os-cabelos-da-china,regional,15,0.1978,268
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,0,0.2278,237
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,1,0.2035,231
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,2,0.1417,240
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,3,0.2043,230
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,4,0.1459,233
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,5,0.1538,234
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,6,0.1529,242
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,7,0.1429,238
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,8,0.1464,239
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,9,0.1653,242
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,10,0.1352,244
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,11,0.1375,240
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,12,0.1411,241
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,13,0.166,241
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,14,0.1358,243
anthropic-claude-sonnet-5,pt-C1,regional-08-penar-de-velhos,regional,15,0.168,244
anthropic-claude-sonnet-5,pt-C1,regional-09-trezentas-oncas-1912,regional,0,0.2333,240
anthropic-claude-sonnet-5,pt-C1,regional-09-trezentas-oncas-1912,regional,1,0.1406,249
anthropic-claude-sonnet-5,pt-C1,regional-09-trezentas-oncas-1912,regional,2,0.1508,252
anthropic-claude-sonnet-5,pt-C1,regional-09-trezentas-oncas-1912,regional,3,0.1693,254
